datenew,total_room,total_sold_persen,total_sold,total_room_available,total_arr,total_complimentary,total_revpar,total_commission,total_amount,total_net,taxes_amount,service_amount,consigment_include,consigment_add,revenue
2024-12-31,38,84.21,32,6,2323039.15,0,1956243.49,0,102778075.8,131358725.4,9343461.435,8494055.85,0,0,74337252.72
2025-01-01,38,100,38,0,2305880.9,0,2305880.9,0,125419403.7,122183320.4,11401763.97,10365239.97,0,0,87623474.12
2025-01-02,38,100,38,0,2271565.26,0,2271565.26,0,123076570.5,131042625.2,11188779.14,10171617.4,0,0,86319479.77
2025-01-03,38,100,38,0,2334832.61,0,2334832.61,0,123855603.2,127262661.8,11259600.29,10236000.27,0,0,88723639.04
2025-01-04,38,86.84,33,5,2145332.59,0,1863051.99,0,97673130.41,103028761.9,8879375.492,8072159.538,0,0,70795975.55
2025-01-05,37,83.78,31,6,2070887.11,0,1735067.58,0,89628975.47,87843365.26,8148088.679,7407353.345,0,0,64197500.39
2025-01-06,37,70.27,26,11,1737159.64,0,1220706.77,0,64431042.15,70180803.02,5857367.468,5324879.517,0,0,45166150.54
2025-01-07,37,70.27,26,11,1608316.46,0,1130168.32,0,61507635.81,65402515.55,5591603.255,5083275.687,0,0,41816227.94
2025-01-08,37,81.08,30,7,1610631.91,0,1305917.77,0,70235938.48,72300788,6385085.316,5804623.015,0,0,48318957.42
2025-01-09,37,51.35,19,18,1551396.98,0,796663.31,0,43256616.48,44365509.49,3932419.68,3574926.982,0,0,29476542.55
2025-01-10,37,51.35,19,18,1436992.16,0,737914.9,0,41606449.86,43484173.44,3782404.533,3438549.575,0,0,27302851.12
2025-01-11,37,59.46,22,12,1519817.87,3,903675.49,0,50177551.67,45788960.88,4561595.606,4146905.097,0,0,33435993.12
2025-01-12,37,51.35,19,18,1349110.94,0,692786.7,0,39236060.53,40316743,3566914.594,3242649.631,0,0,25633107.88
2025-01-13,38,55.26,21,16,1506699.78,1,832649.88,0,48135241.44,47673598.3,4375931.04,3978119.127,0,0,31640695.4
2025-01-14,38,71.05,27,11,1480719.06,0,1052089.86,0,62525091.68,65198978.66,5684099.244,5167362.949,0,0,39979414.61
2025-01-15,38,89.47,34,4,1597881.26,0,1429683.23,0,78216835.02,73840008.28,7110621.365,6464201.241,0,0,54327962.83
2025-01-16,38,78.95,30,8,1541999.8,0,1217368.26,0,66264592.68,66403779.07,6024053.88,5476412.618,0,0,46259993.95
2025-01-17,37,78.38,29,8,1604682.92,0,1257724.45,0,66118323.68,71663875.77,6010756.698,5464324.271,0,0,46535804.69
2025-01-18,37,62.16,23,14,1615844.11,0,1004443.64,0,57118941.6,63144951.74,5192631.055,4720573.686,0,0,37164414.55
2025-01-19,37,62.16,23,14,1635838.86,0,1016872.81,0,53645395.6,62005447.19,4876854.145,4433503.769,0,0,37624293.88
2025-01-20,36,91.67,33,3,1513532.14,0,1387404.47,0,72485338.5,73253407.85,6589576.227,5990523.843,0,0,49946560.74
2025-01-21,37,89.19,33,4,1447727.74,0,1291216.64,0,70197768.83,71469951.93,6381615.348,5801468.499,0,0,47775015.56
2025-01-22,36,86.11,31,5,1407570.3,0,1212074.43,0,65257962,67984709.92,5932542,5393220,0,0,43634679.34
2025-01-23,38,84.21,32,6,1370449.69,0,1154062.9,0,63813812,66812646.28,5801255.636,5273868.76,0,0,43854390.08
2025-01-24,38,84.21,32,6,1446922.21,0,1218460.81,0,69084828,75042749.59,6280438.909,5709489.917,0,0,46301510.74
2025-01-25,38,92.11,35,3,1404032.91,0,1293188.2,0,75580793.58,76019540.15,6870981.235,6246346.577,0,0,49141151.72
2025-01-26,38,94.74,36,2,1350813.74,0,1279718.28,0,73096446.58,68364539.32,6645131.507,6041028.643,0,0,48629294.69
2025-01-27,38,84.21,32,5,1401855.53,1,1180509.92,0,66884846.25,68166133.26,6080440.568,5527673.244,0,0,44859377.07
2025-01-28,38,86.84,33,4,1380524.21,1,1198876.29,0,71274331.75,69928860.95,6479484.705,5890440.64,0,0,45557298.97
2025-01-29,37,89.19,33,4,1434267.41,0,1279211.47,0,70835297.5,74645477.27,6439572.5,5854156.818,0,0,47330824.38
